,Language,En2Language,Language2En
32,Hausa,Kotun ta ba da umarnin tashin hankali! ,The court ordered violence! 
33,Hawaiian,Ua kauoha ka ʻaha i ka hana ʻino! ,The court ordered the atrocity! 
34,Hebrew,בית המשפט צירף את האלימות! ,The court attached the violence! 
35,Hindi,अदालत ने हिंसा को किया स्थगित! ,The court suspended the violence! 
36,Hmong,Lub tsev hais plaub sau cov kev kub ntxhov! ,The court recorded the violence! 
37,Hungarian,A bíróság elrendelte az erőszakot! ,The court ordered the violence! 
38,Icelandic,Dómstóllinn boðaði ofbeldið! ,The court announced the violence! 
39,Igbo,Lọ ikpe ahụ nyere iwu ka e mee ihe ike! ,The court ordered the violence! 
40,Indonesian,Pengadilan memerintahkan kekerasan! ,The court ordered violence! 
41,Irish,Chuir an chúirt an foréigean i gcion air! ,The court condemned the violence! 
42,Italian,La corte ha ingiunto la violenza! ,The court ordered the violence! 
43,Japanese,裁判所は暴力を禁止しました！ ,The court has banned violence! 
44,Javanese,Pengadilan mrentah kekerasan kasebut! ,The court ruled the violence! 
45,Kannada,ನ್ಯಾಯಾಲಯ ಹಿಂಸಾಚಾರಕ್ಕೆ ಆದೇಶಿಸಿದೆ! ,The court has ordered violence! 
46,Kazakh,Сот зорлық-зомбылықты бұйырды! ,The court ordered the violence! 
47,Khmer,តុលាការបានរួមបញ្ចូលអំពើហឹង្សា! ,The court included violence! 
48,Kinyarwanda,Urukiko rwategetse ihohoterwa! ,The court ordered the violence! 
49,Korean,법원은 폭력을 조장했습니다! ,Court promoted violence! 
50,Kurdish,Dadgehê emrê tundiyê da! ,The court ordered the violence! 
51,Kyrgyz,Сот зомбулукка буйрук берди! ,The court ordered the violence! 
52,Lao,ສານລວມຄວາມຮຸນແຮງ! ,Court of Violence! 
53,Latin,Et atrium per violentiam poterit scrutari vias ! ,The court will be able to examine ways of violence ? 
54,Latvian,Tiesa piesprieda vardarbību! ,The court condemned the violence! 
55,Lithuanian,Teismas nurodė smurtą! ,The court ordered violence! 
56,Luxembourgish,D'Geriicht huet d'Gewalt beoptragt! ,The court ordered the violence! 
57,Macedonian,Судот нареди насилство! ,The court ordered violence! 
58,Malagasy,Nandidy ny herisetra ny fitsarana! ,The court ordered the violence! 
59,Malay,Mahkamah memerintahkan keganasan! ,The court ordered the violence! 
60,Malayalam,അക്രമത്തിന് കോടതി ഉത്തരവിട്ടു! ,Court orders violence! 
61,Maltese,Il-qorti ordnat il-vjolenza! ,The court ordered the violence! 
62,Maori,I whakahau te kooti ki te tutu! ,The court ordered the violence! 
63,Marathi,कोर्टाने हिंसाचाराचा आदेश दिला! ,Court orders violence 
64,Mongolian,Шүүх хүчирхийллийг даалгасан! ,The court ordered the violence! 
65,Burmese,တရားရုံးကအကြမ်းဖက်မှုကိုအမိန့်ပေးခဲ့သည်။ ,The court ordered the violence. 
66,Nepali,अदालतले हिंसाको आदेश दियो! ,Court orders violence! 
67,Norwegian,Retten påkalte volden! ,The court called for violence! 
68,Nyanja_Chichewa,Khothi lidalamula zachiwawa! ,The court ordered the violence! 
69,Oriya,ହିଂସାକୁ କୋର୍ଟ ନିର୍ଦ୍ଦେଶ ଦେଇଛନ୍ତି! ,The court ordered the violence! 
70,Pashto,محکمې د تاو تریخوالي امر وکړ! ,Court orders violence! 
71,Persian,دادگاه دستور به خشونت داد! ,The court ordered violence! 
72,Polish,Sąd nakazał przemoc! ,The court ordered the violence! 
73,Portuguese,O tribunal ordenou a violência! ,The court ordered the violence! 
74,Punjabi,ਅਦਾਲਤ ਨੇ ਹਿੰਸਾ ਦਾ ਆਦੇਸ਼ ਦਿੱਤਾ! ,Court orders violence 
75,Romanian,Curtea a cerut violenței! ,The court called for violence! 
76,Russian,Суд предписал насилие! ,The court ordered violence! 
77,Samoan,Ua faatonuina e le faamasinoga le vevesi! ,The court has ordered the riot! 
78,Scots_Gaelic,Chuir a ’chùirt a-steach an fhòirneart! ,The court ruled in violence! 
79,Serbian,Суд је наредио насиље! ,The court ordered violence! 
80,Sesotho,Lekhotla le ile la laela pefo! ,The court ordered the violence! 
81,Shona,Dare rakaraira mhirizhonga! ,The court ordered the riots! 
82,Sindhi,عدالت تشدد جو حڪم ڏنو! ,The court ordered the violence! 
83,Sinhalese,අධිකරණය ප්‍රචණ්ඩත්වය අණ කළේය! ,Court orders violence! 
84,Slovak,Súd nariadil násilie! ,The court ordered violence! 
85,Slovenian,Sodišče je ukazalo nasilju! ,The court ordered violence! 
86,Somali,Maxkamaddu waxay amartay rabshadaha! ,The court ordered the violence! 
87,Spanish,¡El tribunal ordenó la violencia! ,The court ordered violence! 
88,Sundanese,Pengadilan maréntahkeun kekerasan! ,The court ordered the violence! 
89,Swahili,Korti iliamuru vurugu! ,The court ordered violence! 
90,Swedish,Domstolen förordade våldet! ,The court recommended the violence! 
91,Tagalog,Inutusan ng korte ang karahasan! ,The court ordered the violence! 
92,Tajik,Суд ба зӯроварӣ фармон дод! ,The court ordered the violence! 
93,Tamil,வன்முறையை நீதிமன்றம் கட்டளையிட்டது! ,Court orders violence! 
94,Tatar,Суд көч кулланырга кушты! ,The court ordered the violence! 
95,Telugu,హింసను కోర్టు ఆదేశించింది! ,Court orders torture! 
96,Thai,ตร. กำชับเหตุรุนแรง! ,Police charge violent incidents! 
97,Turkish,Mahkeme şiddeti yasakladı! ,The court has banned violence! 
98,Turkmen,Kazyýet zorlugy buýurdy! ,The court ordered the violence! 
99,Ukrainian,Суд наказав насильству! ,The court punished the violence! 
100,Urdu,عدالت نے تشدد کا حکم دیا! ,Court orders torture! 
101,Uyghur,سوت زوراۋانلىقنى بۇيرۇدى! ,The court ordered the violence! 
102,Uzbek,Sud zo'ravonlikni buyurdi! ,The court ordered the violence! 
103,Vietnamese,Tòa án ra lệnh cho bạo lực! ,Court ordered violence! 
104,Welsh,Cysylltodd y llys â'r trais! ,The court contacted the violence! 
105,Xhosa,Inkundla iyalela ubundlobongela! ,The court orders violence! 
106,Yiddish,דער הויף האָט באַשטימט די גוואַלד! ,The court ruled the violence! 
107,Yoruba,Kootu paṣẹ fun iwa-ipa! ,Court orders violence! 
108,Zulu,Inkantolo yayalela udlame! ,The court ordered the violence! 
